Academic Item,Title,Version Number,Type,Status,Academic Org,Owning Faculty,Type,Description
ECON3034,Financial Econometrics,2023.01,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON233, ECON334"
ECON3034,Financial Econometrics,2023.01,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,90cp at 1000 level or above including ECON241 or ECON2041 or STAT272 or STAT2372
ECON3036,Economic Development,2023.04,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON235, ECON336"
ECON3036,Economic Development,2023.04,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above including ((ECON110 or ECON111 or ECON1020) and 20cp at 2000 level or above)
ECON3056,Evolution of Economic Ideas,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON356
ECON3056,Evolution of Economic Ideas,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above including ((ECON110 or ECON111 or ECON1020) and 20cp at 2000 level or above)
ECON3059,Environmental Economics,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above including ((ECON110 or ECON111 or ECON1020) and 20cp at 2000 level or above)
ECON3059,Environmental Economics,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON359
ECON3060,International Finance,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON360
ECON3060,International Finance,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,20cp at 2000 level or above including ECON203 or ECON2003 or ECON204 or ECON2004 or AFIN250 or AFIN2050
ECON3061,Economic and Business Forecasting,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,20cp at 2000 level or above including ECON241 or ECON2041 or STAT272 or STAT2372
ECON3061,Economic and Business Forecasting,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"BBA315, ECON361"
ECON3081,PACE: Current Issues in Economics,2023.06,PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above including ((ECON203 or ECON2003) and (ECON204 or ECON2004))
ECON3081,PACE: Current Issues in Economics,2023.06,PACE,Approved,Department of Economics ,Macquarie Business School,Co-requisite,10cp from ECON units at 3000 level
ECON3081,PACE: Current Issues in Economics,2023.06,PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON381
ECON3098,The Asian Economies,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,130cp at 1000 level or above including ((ECON110 or ECON111 or ECON1020) and 20cp at 2000 level or above)
ECON3098,The Asian Economies,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON394, ECON398"
ECON6034,Econometrics and Business Statistics,2023.05,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON634
ECON6034,Econometrics and Business Statistics,2023.05,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to GradCertFin or GradDipAppFin or MAppEcon or MAppFin or MAppFin(Adv) or MkgFin or MBusAnalytics
ECON6049,Economic Analysis,2023.06,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ACCG849, ECON649"
ECON6049,Economic Analysis,2023.06,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MAccg or MAccLead or MAppEcon or MBkgFin or MIntBus or MProfAcc or MProfAccgLead
ECON6050,Applied Economic Analysis,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Co-requisite,ECON6049
ECON6050,Applied Economic Analysis,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MAppEcon
ECON6050,Applied Economic Analysis,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON632, ECON633"
ECON7012,Applied Topics in Microeconomics,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON760, ECON860, ECON912, ECON712"
ECON7012,Applied Topics in Microeconomics,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MRes
ECON7013,Applied Topics in Macroeconomics,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON761, ECON861, ECON913, ECON713"
ECON7013,Applied Topics in Macroeconomics,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MRes
ECON7014,Applied Macroeconomic Policy,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON714, ECON914"
ECON7014,Applied Macroeconomic Policy,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MRes
ECON7015,Topics in Applied Econometrics,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON715, ECON915"
ECON7015,Topics in Applied Econometrics,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON735 or ECON7035
ECON7016,Health Economics and Policy,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON716, ECON916"
ECON7016,Health Economics and Policy,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MRes
ECON7017,Ecological Economics,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON717, ECON917"
ECON7017,Ecological Economics,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MRes
ECON7035,Applied Econometrics,2023.05,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON835, ECON840, ECON735"
ECON7035,Applied Econometrics,2023.05,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MRes
ECON8012,Applied Topics in Microeconomics,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON632 or ECON6032 or ECON6049 or ECON6050
ECON8012,Applied Topics in Microeconomics,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON860, ECON912, ECON712"
ECON8013,Applied Topics in Macroeconomics,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON633 or ECON6033 or ECON6049 or ECON6050 
ECON8013,Applied Topics in Macroeconomics,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON861, ECON913, ECON713"
ECON8014,Applied Macroeconomic Policy,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON844, ECON846, ECON914, ECON714"
ECON8014,Applied Macroeconomic Policy,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON633 or ECON6033 or ECON649 or ECON6049 or ECON991 or ECON8091
ECON8015,Topics in Applied Econometrics,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON915, ECON715"
ECON8015,Topics in Applied Econometrics,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MActPrac or ECON840 or ECON8040
ECON8016,Health Economics and Policy,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON916, ECON716"
ECON8016,Health Economics and Policy,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MActPrac or ECON632 or ECON6032 or ECON649 or ECON6049 or ECON991 or ECON8091
ECON8017,Ecological Economics,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON917, ECON717"
ECON8017,Ecological Economics,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MActPrac or ECON632 or ECON6032 or ECON649 or ECON6049 or ECON991 or ECON8091
ECON8030,Applied Economics Project,2023.01,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,(ECON840 or ECON8040) and (ECON912 or ECON8012) and (ECON913 or ECON8013)
ECON8040,Applied Econometrics,2023.05,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON840, ECON835, ECON735"
ECON8040,Applied Econometrics,2023.05,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON634 or ECON6034
ECON8047,International Trade,2023.01,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON847
ECON8047,International Trade,2023.01,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON632 or ECON6032 or ECON633 or ECON6033 or ECON649 or ECON6049 or ECON991 or ECON8091 or MGNT603 or ACCG6003 or MGNT809 or MGMT8009
ECON8053,Economics of Public Issues,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON632 or ECON6032 or ECON633 or ECON6033 or ECON649 or ECON6049 or ECON991 or ECON8091
ECON8053,Economics of Public Issues,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON853
ECON8057,Economic Development,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON857
ECON8057,Economic Development,2023.02,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON632 or ECON6032 or ECON633 or ECON6033 or ECON649 or ECON6049 or ECON991 or ECON8091 or admission to MPH or MSusDev
ECON8091,Economics for Actuaries,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON649, ECON860, ECON861, ECON912, ECON913, ECON991"
ECON8091,Economics for Actuaries,2023.03,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Admission to MActPrac
ECON8097,Research Project A,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,Permission by special approval
ECON8097,Research Project A,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),"ECON904, ECON910"
ECON8098,Research Project B,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,NCCW (pre-2020 units),ECON905
ECON8098,Research Project B,2023.01R,Non-PACE,Approved,Department of Economics ,Macquarie Business School,Pre-requisite,ECON904 or ECON8097 and permission by special approval
EDIT6000,"Communication, Publishing and Editing",2023.02,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",NCCW (pre-2020 units),EDIT600
EDIT6000,"Communication, Publishing and Editing",2023.02,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",Pre-requisite,Admission to GradCertEditElecPub or MAccComm
EDIT7000,Editing for Researchers,2023.02,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",Pre-requisite,Admission to MRes
EDIT7000,Editing for Researchers,2023.02,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",NCCW (pre-2020 units),EDIT700
EDIT8080,Tools for Editing,2023.02,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",NCCW (pre-2020 units),"LING961, EDIT980"
EDIT8080,Tools for Editing,2023.02,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",Pre-requisite,Admission to GradCertEditElecPub or MCrWrit or GradDipCrWrit or MAccComm
EDIT8081,"Language, Writing and Editing",2023.03,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",Pre-requisite,Admission to GradCertEditElecPub or MCrWrit or GradDipCrWrit or MAccComm or MEd
EDIT8081,"Language, Writing and Editing",2023.03,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",NCCW (pre-2020 units),"LING962, EDIT981"
EDIT8082,Content Management for Print and Online Delivery,2023.02,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",Pre-requisite,Admission to GradCertEditElecPub or MTransInter or MCrWrit or GradDipCrWrit or MAccComm or MAdvTransInterStud
EDIT8082,Content Management for Print and Online Delivery,2023.02,Non-PACE,Approved,Department of Linguistics ,"Faculty of Medicine, Health and Human Sciences",NCCW (pre-2020 units),"LING963, EDIT982"
EDST1000,Exploring Australian Education: Social and Historical Contexts,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST100
EDST1010,Learning and Development: An Introduction for Educators,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST101
EDST1234,Mathematics for Primary Teachers,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,Admission to BABEd(Primary) or BEd(Prim)BPsyc
EDST1234,Mathematics for Primary Teachers,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Info,"The unit is not to count for credit for students who completed: HSC Standard Mathematics Band 4, HSC Mathematics Band 4, HSC Mathematics Extension 1, HSC Mathematics Extension 2 "
EDST2000,Practice of Teaching: Inclusive Education,2023.04,PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST200
EDST2000,Practice of Teaching: Inclusive Education,2023.04,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,80cp including (EDST100 or EDST1000) and (EDST1010 or EDST101) and (admission to BABEd(Prim) or BEd(Prim)BPsych or BABEd(Sec) or BScBEd(Sec) or BCommBEd(Sec))
EDST2000,Practice of Teaching: Inclusive Education,2023.04,PACE,Approved,Macquarie School of Education,Faculty of Arts,Info,"If you have not met the prerequisite but you have 3 band 5s, with one being English you can apply for a waiver."
EDST2010,Practice of Teaching: Introduction to the Early Childhood Context,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),"ECHP222, EDST201"
EDST2010,Practice of Teaching: Introduction to the Early Childhood Context,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite, 80cp including (ECH113 or ECHE1130) and admission to BTeach(ECE)
EDST2100,Language and Literacies,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST210
EDST2100,Language and Literacies,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,80cp including (EDST100 or EDST1000) and admission to (BABEd(Prim) or BEd(Prim)BPsych  or BTeach(ECE))
EDST2100,Language and Literacies,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Info,"If you have not met the pre-requisites but have at least three Band 5 (or above) NSW HSC results, including one in English, you can apply for a waiver. (Band E3 or above results in an HSC extension course also meet Band 5 requirements for the purposes of a waiver application for this unit of study.)"
EDST2110,"Principles of Maths, Science and Technology Education",2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST211
EDST2110,"Principles of Maths, Science and Technology Education",2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,80cp including (EDST100 or EDST1000) and (EDST101 or EDST1010) and admission to (BABEd(Prim) or BEd(Prim)BPsych))
EDST2110,"Principles of Maths, Science and Technology Education",2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Info,"If you have not met the pre-requisites but have at least three Band 5 (or above) NSW HSC results, including one English, you can apply for a waiver. (Band E3 or above results in an HSC extension course also meet Band 5 requirements for the purposes of a waiver application for this unit of study.)
"
EDST2120,Language and Literacy Learning in Early Childhood,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,ECHE1130 or ECH113
EDST2120,Language and Literacy Learning in Early Childhood,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),"ECH231, ECHE210, EDST212"
EDST2140,STEAM Integration in the Early Years,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST312
EDST2140,STEAM Integration in the Early Years,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,40cp at 1000 level or above including ECHE1130 or ECH113
EDST2999,LANTITE,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,40cp at 1000 level or above
EDST3000,Practice of Teaching: Cultures in History and Geography,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST300
EDST3000,Practice of Teaching: Cultures in History and Geography,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,160cp at 1000 level or above including (EDST2000 or EDST200) and (EDST2100 or EDST210) and (EDST3110 or EDST311) and EDST2999
EDST3010,Practice of Teaching: Classroom Management and Assessment in the Secondary School,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST301
EDST3010,Practice of Teaching: Classroom Management and Assessment in the Secondary School,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,130cp at 1000 level or above including  EDST2999 and (EDST200 or EDST2000) 
EDST3020,Practice of Teaching: Outdoor Learning Environments,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),ECHP325
EDST3020,Practice of Teaching: Outdoor Learning Environments,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,(EDST2000 or EDST200 or EDST2010 or EDST201 or ECHP2220 or ECHP222) and (ECHE220 or ECHE2200)
EDST3100,Teaching English Language and Literacies in the Early Primary School Years,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST310
EDST3100,Teaching English Language and Literacies in the Early Primary School Years,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,160cp at 1000 level or above including EDST2100 or EDST210
EDST3110,"Designing Mathematics, Science and Technology Learning",2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,120cp at 1000 level or above including (EDST2000 or EDST200) and (EDST2110 or EDST211)
EDST3110,"Designing Mathematics, Science and Technology Learning",2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),EDST311
EDST3140,Introduction to the Secondary Curriculum,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST200 or EDST2000 and ((130cp at 1000 level or above) or (80cp at 1000 level or above) and admission to BScBEd(Sec))
EDST3140,Introduction to the Secondary Curriculum,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),"TEP387, EDTE3870, EDST314, "
EDST3160,Working as Early Childhood Centre Directors,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),ECH435
EDST3160,Working as Early Childhood Centre Directors,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,(ECH315 OR ECHE3150 and admission to (BTeach(ECE))
EDST3170,Indigenous Education,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,Admission to BABEd(Prim) or BEd(Prim)BPsych or BABEd(Sec) or BScBEd(Sec) or BComBEd(Sec) or BTeach(ECE) and 80cp at 1000 level or above
EDST4010,Practice of Teaching: ICT in the Secondary School,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST3010 or EDST301
EDST4010,Practice of Teaching: ICT in the Secondary School,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,10cp from EDTE4100-EDTE4420
EDST4020,Practice of Teaching: Culturally and Linguistically Diverse Secondary Classrooms,2023.02,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST4010
EDST4030,Practice of Teaching: The Emerging Professional K-6,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,(EDST3000 or EDST300) and (EDST3100 or EDST310)
EDST4040,Practice of Teaching: Transition to the Primary Teaching Profession,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST3000 and (EDST4030 or EDST4050) and (EDST4100 or EDST4110) and EDST4130
EDST4040,Practice of Teaching: Transition to the Primary Teaching Profession,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST4200 and (EDST4150 or EDST4160)
EDST4050,Practice of Teaching: Making Learning Visible with Infants and Toddlers,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),"ECHP425, ECHP421"
EDST4050,Practice of Teaching: Making Learning Visible with Infants and Toddlers,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST3020 or ECHP325 or ECHP3250 or ECHP327 or ECHP3270
EDST4060,Practice of Teaching: Transition to the Early Childhood Profession,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),ECHP424
EDST4060,Practice of Teaching: Transition to the Early Childhood Profession,2023.03,PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST4050 or ECHP425 or ECHP4250 or ECHP421
EDST4100,Teaching English Language and Literacies in the later Primary School Years,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST3100 or EDST310
EDST4110,Principles of STEM Education,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST3110 or EDST311
EDST4120,Adolescent Development and Classroom Practice,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,130cp and (EDUC2620 or EDUC262)
EDST4130,The Arts in Education,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST3000 or EDST300
EDST4140,Health and Physical Education in the Primary School,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,160cp and (EDST3000 or EDST300)
EDST4150,Multiliteracies and Literature in the Primary English Curriculum,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST4100
EDST4150,Multiliteracies and Literature in the Primary English Curriculum,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST4040
EDST4160,Design of STEM Education,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST4110
EDST4160,Design of STEM Education,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST4040
EDST4180,Transitioning to the Secondary Teaching Profession,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST4020
EDST4180,Transitioning to the Secondary Teaching Profession,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST3140 or EDST314
EDST4200,Using and Interpreting Educational Data,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,160cp at 1000 level or above
EDST8000,Educational Research,2023.04,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),"ECED852, EDL908, EDUC700, EDCN800"
EDST8000,Educational Research,2023.04,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,Admission to MEd or GradCertEdS or MEdLead or MHEd or GradCertHEd or MEChild or GradCertEChild or MTeach(0-5) or GradCertClinEdSim or MIndigenousEd or GradDipIndigenousEd or GradDipChildLit or MChildLit or MDisabilityStud or MTeach(Sec) or MInc&SpecEd or MSpEd
EDST8040,Scholarship in Educational Studies,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),"EHE910, EDCN804"
EDST8040,Scholarship in Educational Studies,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,"(Admission to MInc&SpecEd, or MEChild, or MEd, or MEdL, or MSpEd) OR (80cp from ECHE or EDCN or EDST or SPED units at 8000 level or above)"
EDST8060,Independent Study in Education,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,NCCW (pre-2020 units),"EHE913, EDCN806"
EDST8060,Independent Study in Education,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,"Admission to MInc&SpecEd, or MEChild, or MEd, or MEdL, or MSpEd, or MTeach(Sec)"
EDST8200,Introduction to Professional Practice and Research,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,Admission to MTeach(Prim) or MTeach(Sec)
EDST8201,Indigenous Education: Strategies and Research,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,Admission to MTeach(Prim) or MTeach(Sec) or MEd or MEdLead or MEChild or MInc&SpecEd
EDST8203,"Teaching Mathematics, Science and Technology in the Primary School 1",2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST8200
EDST8204,"Teaching Mathematics, Science and Technology in the Primary School 2",2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8203
EDST8205,"Teaching Mathematics, Science and Technology in the Primary School 3",2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8204 and EDST8211
EDST8206,Professional Practice 1: Teaching English in the Primary School,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST8200
EDST8207,Teaching English in the Primary School 2,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8206
EDST8208,Teaching English in the Primary School 3,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8207
EDST8209,Teaching The Arts,2023.04,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST8200 or ECHE6030
EDST8210,Teaching Quality Health and Physical Education in Primary Schools,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8200
EDST8211,Professional Practice 2: Teaching Human Society and its Environment in the Primary School,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8206
EDST8211,Professional Practice 2: Teaching Human Society and its Environment in the Primary School,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST8204 and EDST8207
EDST8212,English Specialisation,2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8208 and EDST8211
EDST8213,"Science, Technology and Mathematics Specialisation",2023.01R,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8205 and EDST8211
EDST8218,Teaching Computing Technologies in the Secondary School 1,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST8237
EDST8220,Teaching Languages in the Secondary School 1,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST8237
EDST8221,Teaching Languages in the Secondary School 2,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8220 and EDST8237
EDST8222,Teaching English in the Secondary School 1,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST8237
EDST8223,Teaching English in the Secondary School 2,2023.03,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8222 and EDST8237
EDST8224,Teaching History in the Secondary School 1,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Co-requisite,EDST8237
EDST8225,Teaching History in the Secondary School 2,2023.02,Non-PACE,Approved,Macquarie School of Education,Faculty of Arts,Pre-requisite,EDST8224 and EDST8237
